"","V1","V2","V3","V4","V5","V6","V7"
"74","vhigh","vhigh","4","more","small","med","unacc"
"75","vhigh","vhigh","4","more","small","high","unacc"
"76","vhigh","vhigh","4","more","med","low","unacc"
"77","vhigh","vhigh","4","more","med","med","unacc"
"78","vhigh","vhigh","4","more","med","high","unacc"
"79","vhigh","vhigh","4","more","big","low","unacc"
"80","vhigh","vhigh","4","more","big","med","unacc"
"81","vhigh","vhigh","4","more","big","high","unacc"
"82","vhigh","vhigh","5more","2","small","low","unacc"
"83","vhigh","vhigh","5more","2","small","med","unacc"
"84","vhigh","vhigh","5more","2","small","high","unacc"
"86","vhigh","vhigh","5more","2","med","med","unacc"
"88","vhigh","vhigh","5more","2","big","low","unacc"
"89","vhigh","vhigh","5more","2","big","med","unacc"
"90","vhigh","vhigh","5more","2","big","high","unacc"
"91","vhigh","vhigh","5more","4","small","low","unacc"
"92","vhigh","vhigh","5more","4","small","med","unacc"
"93","vhigh","vhigh","5more","4","small","high","unacc"
"94","vhigh","vhigh","5more","4","med","low","unacc"
"96","vhigh","vhigh","5more","4","med","high","unacc"
"98","vhigh","vhigh","5more","4","big","med","unacc"
"99","vhigh","vhigh","5more","4","big","high","unacc"
"100","vhigh","vhigh","5more","more","small","low","unacc"
"101","vhigh","vhigh","5more","more","small","med","unacc"
"102","vhigh","vhigh","5more","more","small","high","unacc"
"103","vhigh","vhigh","5more","more","med","low","unacc"
"104","vhigh","vhigh","5more","more","med","med","unacc"
"106","vhigh","vhigh","5more","more","big","low","unacc"
"107","vhigh","vhigh","5more","more","big","med","unacc"
"109","vhigh","high","2","2","small","low","unacc"
"110","vhigh","high","2","2","small","med","unacc"
"115","vhigh","high","2","2","big","low","unacc"
"116","vhigh","high","2","2","big","med","unacc"
"119","vhigh","high","2","4","small","med","unacc"
"120","vhigh","high","2","4","small","high","unacc"
"121","vhigh","high","2","4","med","low","unacc"
"122","vhigh","high","2","4","med","med","unacc"
"123","vhigh","high","2","4","med","high","unacc"
"124","vhigh","high","2","4","big","low","unacc"
"125","vhigh","high","2","4","big","med","unacc"
"127","vhigh","high","2","more","small","low","unacc"
"128","vhigh","high","2","more","small","med","unacc"
"129","vhigh","high","2","more","small","high","unacc"
"130","vhigh","high","2","more","med","low","unacc"
"131","vhigh","high","2","more","med","med","unacc"
"132","vhigh","high","2","more","med","high","unacc"
"134","vhigh","high","2","more","big","med","unacc"
"136","vhigh","high","3","2","small","low","unacc"
"137","vhigh","high","3","2","small","med","unacc"
"138","vhigh","high","3","2","small","high","unacc"
"139","vhigh","high","3","2","med","low","unacc"
"140","vhigh","high","3","2","med","med","unacc"
"141","vhigh","high","3","2","med","high","unacc"
"142","vhigh","high","3","2","big","low","unacc"
"144","vhigh","high","3","2","big","high","unacc"
"145","vhigh","high","3","4","small","low","unacc"
"146","vhigh","high","3","4","small","med","unacc"
"148","vhigh","high","3","4","med","low","unacc"
"149","vhigh","high","3","4","med","med","unacc"
"150","vhigh","high","3","4","med","high","unacc"
"151","vhigh","high","3","4","big","low","unacc"
"152","vhigh","high","3","4","big","med","unacc"
"153","vhigh","high","3","4","big","high","unacc"
"154","vhigh","high","3","more","small","low","unacc"
"155","vhigh","high","3","more","small","med","unacc"
"156","vhigh","high","3","more","small","high","unacc"
"158","vhigh","high","3","more","med","med","unacc"
"160","vhigh","high","3","more","big","low","unacc"
"161","vhigh","high","3","more","big","med","unacc"
"163","vhigh","high","4","2","small","low","unacc"
"167","vhigh","high","4","2","med","med","unacc"
"168","vhigh","high","4","2","med","high","unacc"
"169","vhigh","high","4","2","big","low","unacc"
"170","vhigh","high","4","2","big","med","unacc"
"171","vhigh","high","4","2","big","high","unacc"
"173","vhigh","high","4","4","small","med","unacc"
"174","vhigh","high","4","4","small","high","unacc"
"175","vhigh","high","4","4","med","low","unacc"
"180","vhigh","high","4","4","big","high","unacc"
"182","vhigh","high","4","more","small","med","unacc"
"183","vhigh","high","4","more","small","high","unacc"
"184","vhigh","high","4","more","med","low","unacc"
"185","vhigh","high","4","more","med","med","unacc"
"187","vhigh","high","4","more","big","low","unacc"
"189","vhigh","high","4","more","big","high","unacc"
"190","vhigh","high","5more","2","small","low","unacc"
"191","vhigh","high","5more","2","small","med","unacc"
"192","vhigh","high","5more","2","small","high","unacc"
"194","vhigh","high","5more","2","med","med","unacc"
"195","vhigh","high","5more","2","med","high","unacc"
"196","vhigh","high","5more","2","big","low","unacc"
"197","vhigh","high","5more","2","big","med","unacc"
"198","vhigh","high","5more","2","big","high","unacc"
"200","vhigh","high","5more","4","small","med","unacc"
"201","vhigh","high","5more","4","small","high","unacc"
"202","vhigh","high","5more","4","med","low","unacc"
"203","vhigh","high","5more","4","med","med","unacc"
"204","vhigh","high","5more","4","med","high","unacc"
"205","vhigh","high","5more","4","big","low","unacc"
"207","vhigh","high","5more","4","big","high","unacc"
"208","vhigh","high","5more","more","small","low","unacc"
"209","vhigh","high","5more","more","small","med","unacc"
"210","vhigh","high","5more","more","small","high","unacc"
"211","vhigh","high","5more","more","med","low","unacc"
"212","vhigh","high","5more","more","med","med","unacc"
"213","vhigh","high","5more","more","med","high","unacc"
"215","vhigh","high","5more","more","big","med","unacc"
"217","vhigh","med","2","2","small","low","unacc"
"218","vhigh","med","2","2","small","med","unacc"
"219","vhigh","med","2","2","small","high","unacc"
"220","vhigh","med","2","2","med","low","unacc"
"221","vhigh","med","2","2","med","med","unacc"
"222","vhigh","med","2","2","med","high","unacc"
"223","vhigh","med","2","2","big","low","unacc"
"224","vhigh","med","2","2","big","med","unacc"
"227","vhigh","med","2","4","small","med","unacc"
"228","vhigh","med","2","4","small","high","acc"
"229","vhigh","med","2","4","med","low","unacc"
"230","vhigh","med","2","4","med","med","unacc"
"233","vhigh","med","2","4","big","med","acc"
"235","vhigh","med","2","more","small","low","unacc"
"236","vhigh","med","2","more","small","med","unacc"
"239","vhigh","med","2","more","med","med","unacc"
"242","vhigh","med","2","more","big","med","acc"
"243","vhigh","med","2","more","big","high","acc"
"245","vhigh","med","3","2","small","med","unacc"
"246","vhigh","med","3","2","small","high","unacc"
"247","vhigh","med","3","2","med","low","unacc"
"249","vhigh","med","3","2","med","high","unacc"
"250","vhigh","med","3","2","big","low","unacc"
"251","vhigh","med","3","2","big","med","unacc"
"252","vhigh","med","3","2","big","high","unacc"
"253","vhigh","med","3","4","small","low","unacc"
"254","vhigh","med","3","4","small","med","unacc"
"256","vhigh","med","3","4","med","low","unacc"
"257","vhigh","med","3","4","med","med","unacc"
"258","vhigh","med","3","4","med","high","acc"
"259","vhigh","med","3","4","big","low","unacc"
"262","vhigh","med","3","more","small","low","unacc"
"263","vhigh","med","3","more","small","med","unacc"
"264","vhigh","med","3","more","small","high","acc"
"266","vhigh","med","3","more","med","med","acc"
"267","vhigh","med","3","more","med","high","acc"
"268","vhigh","med","3","more","big","low","unacc"
"269","vhigh","med","3","more","big","med","acc"
"270","vhigh","med","3","more","big","high","acc"
"272","vhigh","med","4","2","small","med","unacc"
"273","vhigh","med","4","2","small","high","unacc"
"274","vhigh","med","4","2","med","low","unacc"
"275","vhigh","med","4","2","med","med","unacc"
"276","vhigh","med","4","2","med","high","unacc"
"277","vhigh","med","4","2","big","low","unacc"
"278","vhigh","med","4","2","big","med","unacc"
"279","vhigh","med","4","2","big","high","unacc"
"280","vhigh","med","4","4","small","low","unacc"
"281","vhigh","med","4","4","small","med","unacc"
"283","vhigh","med","4","4","med","low","unacc"
"284","vhigh","med","4","4","med","med","acc"
"285","vhigh","med","4","4","med","high","acc"
"288","vhigh","med","4","4","big","high","acc"
"289","vhigh","med","4","more","small","low","unacc"
"290","vhigh","med","4","more","small","med","unacc"
"294","vhigh","med","4","more","med","high","acc"
"296","vhigh","med","4","more","big","med","acc"
"297","vhigh","med","4","more","big","high","acc"
"299","vhigh","med","5more","2","small","med","unacc"
"300","vhigh","med","5more","2","small","high","unacc"
"301","vhigh","med","5more","2","med","low","unacc"
"302","vhigh","med","5more","2","med","med","unacc"
"305","vhigh","med","5more","2","big","med","unacc"
"306","vhigh","med","5more","2","big","high","unacc"
"308","vhigh","med","5more","4","small","med","unacc"
"309","vhigh","med","5more","4","small","high","acc"
"310","vhigh","med","5more","4","med","low","unacc"
"311","vhigh","med","5more","4","med","med","acc"
"312","vhigh","med","5more","4","med","high","acc"
"313","vhigh","med","5more","4","big","low","unacc"
"314","vhigh","med","5more","4","big","med","acc"
"316","vhigh","med","5more","more","small","low","unacc"
"317","vhigh","med","5more","more","small","med","unacc"
"318","vhigh","med","5more","more","small","high","acc"
"319","vhigh","med","5more","more","med","low","unacc"
"320","vhigh","med","5more","more","med","med","acc"
"321","vhigh","med","5more","more","med","high","acc"
"322","vhigh","med","5more","more","big","low","unacc"
"324","vhigh","med","5more","more","big","high","acc"
"325","vhigh","low","2","2","small","low","unacc"
"326","vhigh","low","2","2","small","med","unacc"
"328","vhigh","low","2","2","med","low","unacc"
"329","vhigh","low","2","2","med","med","unacc"
"330","vhigh","low","2","2","med","high","unacc"
"331","vhigh","low","2","2","big","low","unacc"
"332","vhigh","low","2","2","big","med","unacc"
"333","vhigh","low","2","2","big","high","unacc"
"334","vhigh","low","2","4","small","low","unacc"
"335","vhigh","low","2","4","small","med","unacc"
"336","vhigh","low","2","4","small","high","acc"
"337","vhigh","low","2","4","med","low","unacc"
"338","vhigh","low","2","4","med","med","unacc"
"339","vhigh","low","2","4","med","high","acc"
"340","vhigh","low","2","4","big","low","unacc"
"341","vhigh","low","2","4","big","med","acc"
"342","vhigh","low","2","4","big","high","acc"
"343","vhigh","low","2","more","small","low","unacc"
"345","vhigh","low","2","more","small","high","unacc"
"346","vhigh","low","2","more","med","low","unacc"
"348","vhigh","low","2","more","med","high","acc"
"349","vhigh","low","2","more","big","low","unacc"
"350","vhigh","low","2","more","big","med","acc"
"351","vhigh","low","2","more","big","high","acc"
"352","vhigh","low","3","2","small","low","unacc"
"353","vhigh","low","3","2","small","med","unacc"
"355","vhigh","low","3","2","med","low","unacc"
"356","vhigh","low","3","2","med","med","unacc"
"359","vhigh","low","3","2","big","med","unacc"
"361","vhigh","low","3","4","small","low","unacc"
"362","vhigh","low","3","4","small","med","unacc"
"363","vhigh","low","3","4","small","high","acc"
"364","vhigh","low","3","4","med","low","unacc"
"365","vhigh","low","3","4","med","med","unacc"
"366","vhigh","low","3","4","med","high","acc"
"367","vhigh","low","3","4","big","low","unacc"
"368","vhigh","low","3","4","big","med","acc"
"369","vhigh","low","3","4","big","high","acc"
"370","vhigh","low","3","more","small","low","unacc"
"371","vhigh","low","3","more","small","med","unacc"
"372","vhigh","low","3","more","small","high","acc"
"373","vhigh","low","3","more","med","low","unacc"
"374","vhigh","low","3","more","med","med","acc"
"375","vhigh","low","3","more","med","high","acc"
"376","vhigh","low","3","more","big","low","unacc"
"377","vhigh","low","3","more","big","med","acc"
"378","vhigh","low","3","more","big","high","acc"
"379","vhigh","low","4","2","small","low","unacc"
"380","vhigh","low","4","2","small","med","unacc"
"381","vhigh","low","4","2","small","high","unacc"
"382","vhigh","low","4","2","med","low","unacc"
"383","vhigh","low","4","2","med","med","unacc"
"384","vhigh","low","4","2","med","high","unacc"
"385","vhigh","low","4","2","big","low","unacc"
"386","vhigh","low","4","2","big","med","unacc"
"387","vhigh","low","4","2","big","high","unacc"
"388","vhigh","low","4","4","small","low","unacc"
"389","vhigh","low","4","4","small","med","unacc"
"390","vhigh","low","4","4","small","high","acc"
"392","vhigh","low","4","4","med","med","acc"
"393","vhigh","low","4","4","med","high","acc"
"394","vhigh","low","4","4","big","low","unacc"
"395","vhigh","low","4","4","big","med","acc"
"397","vhigh","low","4","more","small","low","unacc"
"398","vhigh","low","4","more","small","med","unacc"
"399","vhigh","low","4","more","small","high","acc"
"400","vhigh","low","4","more","med","low","unacc"
"401","vhigh","low","4","more","med","med","acc"
"402","vhigh","low","4","more","med","high","acc"
"403","vhigh","low","4","more","big","low","unacc"
"404","vhigh","low","4","more","big","med","acc"
"407","vhigh","low","5more","2","small","med","unacc"
"408","vhigh","low","5more","2","small","high","unacc"
"409","vhigh","low","5more","2","med","low","unacc"
"410","vhigh","low","5more","2","med","med","unacc"
"411","vhigh","low","5more","2","med","high","unacc"
"412","vhigh","low","5more","2","big","low","unacc"
"413","vhigh","low","5more","2","big","med","unacc"
"415","vhigh","low","5more","4","small","low","unacc"
"416","vhigh","low","5more","4","small","med","unacc"
"417","vhigh","low","5more","4","small","high","acc"
"418","vhigh","low","5more","4","med","low","unacc"
"419","vhigh","low","5more","4","med","med","acc"
"420","vhigh","low","5more","4","med","high","acc"
"421","vhigh","low","5more","4","big","low","unacc"
"423","vhigh","low","5more","4","big","high","acc"
"424","vhigh","low","5more","more","small","low","unacc"
"425","vhigh","low","5more","more","small","med","unacc"
"426","vhigh","low","5more","more","small","high","acc"
"431","vhigh","low","5more","more","big","med","acc"
"432","vhigh","low","5more","more","big","high","acc"
"434","high","vhigh","2","2","small","med","unacc"
"435","high","vhigh","2","2","small","high","unacc"
"436","high","vhigh","2","2","med","low","unacc"
"437","high","vhigh","2","2","med","med","unacc"
"438","high","vhigh","2","2","med","high","unacc"
"439","high","vhigh","2","2","big","low","unacc"
"441","high","vhigh","2","2","big","high","unacc"
"442","high","vhigh","2","4","small","low","unacc"
"443","high","vhigh","2","4","small","med","unacc"
"446","high","vhigh","2","4","med","med","unacc"
"447","high","vhigh","2","4","med","high","unacc"
"451","high","vhigh","2","more","small","low","unacc"
"452","high","vhigh","2","more","small","med","unacc"
"453","high","vhigh","2","more","small","high","unacc"
"454","high","vhigh","2","more","med","low","unacc"
"455","high","vhigh","2","more","med","med","unacc"
"457","high","vhigh","2","more","big","low","unacc"
"458","high","vhigh","2","more","big","med","unacc"
"459","high","vhigh","2","more","big","high","unacc"
"460","high","vhigh","3","2","small","low","unacc"
"462","high","vhigh","3","2","small","high","unacc"
"463","high","vhigh","3","2","med","low","unacc"
"464","high","vhigh","3","2","med","med","unacc"
"465","high","vhigh","3","2","med","high","unacc"
"466","high","vhigh","3","2","big","low","unacc"
"467","high","vhigh","3","2","big","med","unacc"
"468","high","vhigh","3","2","big","high","unacc"
"469","high","vhigh","3","4","small","low","unacc"
"470","high","vhigh","3","4","small","med","unacc"
"472","high","vhigh","3","4","med","low","unacc"
"473","high","vhigh","3","4","med","med","unacc"
"474","high","vhigh","3","4","med","high","unacc"
"475","high","vhigh","3","4","big","low","unacc"
"476","high","vhigh","3","4","big","med","unacc"
"478","high","vhigh","3","more","small","low","unacc"
"479","high","vhigh","3","more","small","med","unacc"
"480","high","vhigh","3","more","small","high","unacc"
"481","high","vhigh","3","more","med","low","unacc"
"482","high","vhigh","3","more","med","med","unacc"
"483","high","vhigh","3","more","med","high","unacc"
"484","high","vhigh","3","more","big","low","unacc"
"486","high","vhigh","3","more","big","high","unacc"
"487","high","vhigh","4","2","small","low","unacc"
"488","high","vhigh","4","2","small","med","unacc"
"489","high","vhigh","4","2","small","high","unacc"
"490","high","vhigh","4","2","med","low","unacc"
"491","high","vhigh","4","2","med","med","unacc"
"492","high","vhigh","4","2","med","high","unacc"
"493","high","vhigh","4","2","big","low","unacc"
"495","high","vhigh","4","2","big","high","unacc"
"498","high","vhigh","4","4","small","high","unacc"
"499","high","vhigh","4","4","med","low","unacc"
"500","high","vhigh","4","4","med","med","unacc"
"501","high","vhigh","4","4","med","high","unacc"
"502","high","vhigh","4","4","big","low","unacc"
"503","high","vhigh","4","4","big","med","unacc"
"504","high","vhigh","4","4","big","high","unacc"
"505","high","vhigh","4","more","small","low","unacc"
"506","high","vhigh","4","more","small","med","unacc"
"507","high","vhigh","4","more","small","high","unacc"
"508","high","vhigh","4","more","med","low","unacc"
"509","high","vhigh","4","more","med","med","unacc"
"510","high","vhigh","4","more","med","high","unacc"
"511","high","vhigh","4","more","big","low","unacc"
"512","high","vhigh","4","more","big","med","unacc"
"513","high","vhigh","4","more","big","high","unacc"
"514","high","vhigh","5more","2","small","low","unacc"
"515","high","vhigh","5more","2","small","med","unacc"
"516","high","vhigh","5more","2","small","high","unacc"
"517","high","vhigh","5more","2","med","low","unacc"
"519","high","vhigh","5more","2","med","high","unacc"
"520","high","vhigh","5more","2","big","low","unacc"
"522","high","vhigh","5more","2","big","high","unacc"
"523","high","vhigh","5more","4","small","low","unacc"
"524","high","vhigh","5more","4","small","med","unacc"
"525","high","vhigh","5more","4","small","high","unacc"
"526","high","vhigh","5more","4","med","low","unacc"
"527","high","vhigh","5more","4","med","med","unacc"
"528","high","vhigh","5more","4","med","high","unacc"
"530","high","vhigh","5more","4","big","med","unacc"
"531","high","vhigh","5more","4","big","high","unacc"
"532","high","vhigh","5more","more","small","low","unacc"
"533","high","vhigh","5more","more","small","med","unacc"
"534","high","vhigh","5more","more","small","high","unacc"
"536","high","vhigh","5more","more","med","med","unacc"
"537","high","vhigh","5more","more","med","high","unacc"
"539","high","vhigh","5more","more","big","med","unacc"
"541","high","high","2","2","small","low","unacc"
"543","high","high","2","2","small","high","unacc"
"544","high","high","2","2","med","low","unacc"
"545","high","high","2","2","med","med","unacc"
"546","high","high","2","2","med","high","unacc"
"547","high","high","2","2","big","low","unacc"
"548","high","high","2","2","big","med","unacc"
"549","high","high","2","2","big","high","unacc"
"550","high","high","2","4","small","low","unacc"
"551","high","high","2","4","small","med","unacc"
"552","high","high","2","4","small","high","acc"
"553","high","high","2","4","med","low","unacc"
"554","high","high","2","4","med","med","unacc"
"556","high","high","2","4","big","low","unacc"
"557","high","high","2","4","big","med","acc"
"558","high","high","2","4","big","high","acc"
"559","high","high","2","more","small","low","unacc"
"560","high","high","2","more","small","med","unacc"
"562","high","high","2","more","med","low","unacc"
"563","high","high","2","more","med","med","unacc"
"564","high","high","2","more","med","high","acc"
"565","high","high","2","more","big","low","unacc"
"566","high","high","2","more","big","med","acc"
"567","high","high","2","more","big","high","acc"
"568","high","high","3","2","small","low","unacc"
"569","high","high","3","2","small","med","unacc"
"570","high","high","3","2","small","high","unacc"
"571","high","high","3","2","med","low","unacc"
"572","high","high","3","2","med","med","unacc"
"573","high","high","3","2","med","high","unacc"
"574","high","high","3","2","big","low","unacc"
"575","high","high","3","2","big","med","unacc"
"577","high","high","3","4","small","low","unacc"
"579","high","high","3","4","small","high","acc"
"580","high","high","3","4","med","low","unacc"
"583","high","high","3","4","big","low","unacc"
"584","high","high","3","4","big","med","acc"
"585","high","high","3","4","big","high","acc"
"586","high","high","3","more","small","low","unacc"
"587","high","high","3","more","small","med","unacc"
"588","high","high","3","more","small","high","acc"
"589","high","high","3","more","med","low","unacc"
"590","high","high","3","more","med","med","acc"
"591","high","high","3","more","med","high","acc"
"592","high","high","3","more","big","low","unacc"
"593","high","high","3","more","big","med","acc"
"595","high","high","4","2","small","low","unacc"
"596","high","high","4","2","small","med","unacc"
"598","high","high","4","2","med","low","unacc"
"599","high","high","4","2","med","med","unacc"
"601","high","high","4","2","big","low","unacc"
"602","high","high","4","2","big","med","unacc"
"605","high","high","4","4","small","med","unacc"
"607","high","high","4","4","med","low","unacc"
"609","high","high","4","4","med","high","acc"
"610","high","high","4","4","big","low","unacc"
"612","high","high","4","4","big","high","acc"
"613","high","high","4","more","small","low","unacc"
"615","high","high","4","more","small","high","acc"
"616","high","high","4","more","med","low","unacc"
"617","high","high","4","more","med","med","acc"
"618","high","high","4","more","med","high","acc"
"619","high","high","4","more","big","low","unacc"
"620","high","high","4","more","big","med","acc"
"622","high","high","5more","2","small","low","unacc"
"623","high","high","5more","2","small","med","unacc"
"624","high","high","5more","2","small","high","unacc"
"625","high","high","5more","2","med","low","unacc"
"626","high","high","5more","2","med","med","unacc"
"627","high","high","5more","2","med","high","unacc"
"628","high","high","5more","2","big","low","unacc"
"629","high","high","5more","2","big","med","unacc"
"630","high","high","5more","2","big","high","unacc"
"631","high","high","5more","4","small","low","unacc"
"632","high","high","5more","4","small","med","unacc"
"633","high","high","5more","4","small","high","acc"
"634","high","high","5more","4","med","low","unacc"
"635","high","high","5more","4","med","med","acc"
"636","high","high","5more","4","med","high","acc"
"637","high","high","5more","4","big","low","unacc"
"639","high","high","5more","4","big","high","acc"
"640","high","high","5more","more","small","low","unacc"
"642","high","high","5more","more","small","high","acc"
"644","high","high","5more","more","med","med","acc"
"645","high","high","5more","more","med","high","acc"
"646","high","high","5more","more","big","low","unacc"
"650","high","med","2","2","small","med","unacc"
"651","high","med","2","2","small","high","unacc"
"652","high","med","2","2","med","low","unacc"
"653","high","med","2","2","med","med","unacc"
"654","high","med","2","2","med","high","unacc"
"655","high","med","2","2","big","low","unacc"
"656","high","med","2","2","big","med","unacc"
"657","high","med","2","2","big","high","unacc"
"658","high","med","2","4","small","low","unacc"
"660","high","med","2","4","small","high","acc"
"661","high","med","2","4","med","low","unacc"
"663","high","med","2","4","med","high","acc"
"665","high","med","2","4","big","med","acc"
"666","high","med","2","4","big","high","acc"
"667","high","med","2","more","small","low","unacc"
"668","high","med","2","more","small","med","unacc"
"669","high","med","2","more","small","high","unacc"
"670","high","med","2","more","med","low","unacc"
"671","high","med","2","more","med","med","unacc"
"674","high","med","2","more","big","med","acc"
"675","high","med","2","more","big","high","acc"
"676","high","med","3","2","small","low","unacc"
"678","high","med","3","2","small","high","unacc"
"679","high","med","3","2","med","low","unacc"
"680","high","med","3","2","med","med","unacc"
"682","high","med","3","2","big","low","unacc"
"683","high","med","3","2","big","med","unacc"
"684","high","med","3","2","big","high","unacc"
"686","high","med","3","4","small","med","unacc"
"687","high","med","3","4","small","high","acc"
"688","high","med","3","4","med","low","unacc"
"689","high","med","3","4","med","med","unacc"
"690","high","med","3","4","med","high","acc"
"692","high","med","3","4","big","med","acc"
"693","high","med","3","4","big","high","acc"
"694","high","med","3","more","small","low","unacc"
"695","high","med","3","more","small","med","unacc"
"696","high","med","3","more","small","high","acc"
"698","high","med","3","more","med","med","acc"
"699","high","med","3","more","med","high","acc"
"701","high","med","3","more","big","med","acc"
"702","high","med","3","more","big","high","acc"
"703","high","med","4","2","small","low","unacc"
"704","high","med","4","2","small","med","unacc"
"705","high","med","4","2","small","high","unacc"
"707","high","med","4","2","med","med","unacc"
"709","high","med","4","2","big","low","unacc"
"710","high","med","4","2","big","med","unacc"
"711","high","med","4","2","big","high","unacc"
"712","high","med","4","4","small","low","unacc"
"713","high","med","4","4","small","med","unacc"
"715","high","med","4","4","med","low","unacc"
"716","high","med","4","4","med","med","acc"
"717","high","med","4","4","med","high","acc"
"719","high","med","4","4","big","med","acc"
"720","high","med","4","4","big","high","acc"
"721","high","med","4","more","small","low","unacc"
"722","high","med","4","more","small","med","unacc"
"723","high","med","4","more","small","high","acc"
"724","high","med","4","more","med","low","unacc"
"725","high","med","4","more","med","med","acc"
"726","high","med","4","more","med","high","acc"
"727","high","med","4","more","big","low","unacc"
"729","high","med","4","more","big","high","acc"
"731","high","med","5more","2","small","med","unacc"
"732","high","med","5more","2","small","high","unacc"
"733","high","med","5more","2","med","low","unacc"
"734","high","med","5more","2","med","med","unacc"
"737","high","med","5more","2","big","med","unacc"
"739","high","med","5more","4","small","low","unacc"
"740","high","med","5more","4","small","med","unacc"
"741","high","med","5more","4","small","high","acc"
"743","high","med","5more","4","med","med","acc"
"746","high","med","5more","4","big","med","acc"
"747","high","med","5more","4","big","high","acc"
"748","high","med","5more","more","small","low","unacc"
"749","high","med","5more","more","small","med","unacc"
"750","high","med","5more","more","small","high","acc"
"752","high","med","5more","more","med","med","acc"
"753","high","med","5more","more","med","high","acc"
"756","high","med","5more","more","big","high","acc"
"757","high","low","2","2","small","low","unacc"
"758","high","low","2","2","small","med","unacc"
"759","high","low","2","2","small","high","unacc"
"760","high","low","2","2","med","low","unacc"
"761","high","low","2","2","med","med","unacc"
"763","high","low","2","2","big","low","unacc"
"764","high","low","2","2","big","med","unacc"
"765","high","low","2","2","big","high","unacc"
"766","high","low","2","4","small","low","unacc"
"767","high","low","2","4","small","med","unacc"
"770","high","low","2","4","med","med","unacc"
"772","high","low","2","4","big","low","unacc"
"774","high","low","2","4","big","high","acc"
"775","high","low","2","more","small","low","unacc"
"776","high","low","2","more","small","med","unacc"
"777","high","low","2","more","small","high","unacc"
"778","high","low","2","more","med","low","unacc"
"780","high","low","2","more","med","high","acc"
"781","high","low","2","more","big","low","unacc"
"783","high","low","2","more","big","high","acc"
"784","high","low","3","2","small","low","unacc"
"787","high","low","3","2","med","low","unacc"
"788","high","low","3","2","med","med","unacc"
"789","high","low","3","2","med","high","unacc"
"790","high","low","3","2","big","low","unacc"
"791","high","low","3","2","big","med","unacc"
