"","V1_v_high","V1_v_low","V1_v_med","V1_v_vhigh","V2_v_high","V2_v_low","V2_v_med","V2_v_vhigh","V3_v_2","V3_v_3","V3_v_4","V3_v_5more","V4_v_2","V4_v_4","V4_v_more","V5_v_big","V5_v_med","V5_v_small","V6_v_high","V6_v_low","V6_v_med","V7"
"98",0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,"unacc"
"99",0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,"unacc"
"100",0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,"unacc"
"101",0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,"unacc"
"102",0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,"unacc"
"103",0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,"unacc"
"104",0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,"unacc"
"106",0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,"unacc"
"107",0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,"unacc"
"109",0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,"unacc"
"110",0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,"unacc"
"115",0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,"unacc"
"116",0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,"unacc"
"119",0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,"unacc"
"120",0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,"unacc"
"121",0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,"unacc"
"122",0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,"unacc"
"123",0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,"unacc"
"124",0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,"unacc"
"125",0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,"unacc"
"127",0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,"unacc"
"128",0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,"unacc"
"129",0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,"unacc"
"130",0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,"unacc"
"131",0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,"unacc"
"132",0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,"unacc"
"134",0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,"unacc"
"136",0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,"unacc"
"137",0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,"unacc"
"138",0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,"unacc"
"139",0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,"unacc"
"140",0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,"unacc"
"141",0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,"unacc"
"142",0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,"unacc"
"144",0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,"unacc"
"145",0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,"unacc"
"146",0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,"unacc"
"148",0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,"unacc"
"149",0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,"unacc"
"150",0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,"unacc"
"151",0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,"unacc"
"152",0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,"unacc"
"153",0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,"unacc"
"154",0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,"unacc"
"155",0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,"unacc"
"156",0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,"unacc"
"158",0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,"unacc"
"160",0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,"unacc"
"161",0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,"unacc"
"163",0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,"unacc"
"167",0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,"unacc"
"168",0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,"unacc"
"169",0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,"unacc"
"170",0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,"unacc"
"171",0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,"unacc"
"173",0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,"unacc"
"174",0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,"unacc"
"175",0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,"unacc"
"180",0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,"unacc"
"182",0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,"unacc"
"183",0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,"unacc"
"184",0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,"unacc"
"185",0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,"unacc"
"187",0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,"unacc"
"189",0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,"unacc"
"190",0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,"unacc"
"191",0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,"unacc"
"192",0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,"unacc"
"194",0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,"unacc"
"195",0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,"unacc"
"196",0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,"unacc"
"197",0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,"unacc"
"198",0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,"unacc"
"200",0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,"unacc"
"201",0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,"unacc"
"202",0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,"unacc"
"203",0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,"unacc"
"204",0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,"unacc"
"205",0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,"unacc"
"207",0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,"unacc"
"208",0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,"unacc"
"209",0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,"unacc"
"210",0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,"unacc"
"211",0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,"unacc"
"212",0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,"unacc"
"213",0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,"unacc"
"215",0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,"unacc"
"217",0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,"unacc"
"218",0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,"unacc"
"219",0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,"unacc"
"220",0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,"unacc"
"221",0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,"unacc"
"222",0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,"unacc"
"223",0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,"unacc"
"224",0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,"unacc"
"227",0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,"unacc"
"228",0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,"acc"
"229",0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,"unacc"
"230",0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,"unacc"
"233",0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,"acc"
"235",0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,"unacc"
"236",0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,"unacc"
"239",0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,"unacc"
"242",0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,"acc"
"243",0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,"acc"
"245",0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,"unacc"
"246",0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,"unacc"
"247",0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,"unacc"
"249",0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,"unacc"
"250",0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,"unacc"
"251",0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,"unacc"
"252",0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,"unacc"
"253",0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,"unacc"
"254",0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,"unacc"
"256",0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,"unacc"
"257",0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,"unacc"
"258",0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,"acc"
"259",0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,"unacc"
"262",0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,"unacc"
"263",0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,"unacc"
"264",0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,"acc"
"266",0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,"acc"
"267",0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,"acc"
"268",0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,"unacc"
"269",0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,"acc"
"270",0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,"acc"
"272",0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,"unacc"
"273",0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,"unacc"
"274",0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,"unacc"
"275",0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,"unacc"
"276",0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,"unacc"
"277",0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,"unacc"
"278",0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,"unacc"
"279",0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,"unacc"
"280",0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,"unacc"
"281",0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,"unacc"
"283",0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,"unacc"
"284",0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,"acc"
"285",0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,"acc"
"288",0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,"acc"
"289",0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,"unacc"
"290",0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,"unacc"
"294",0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,"acc"
"296",0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,"acc"
"297",0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,"acc"
"299",0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,"unacc"
"300",0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,"unacc"
"301",0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,"unacc"
"302",0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,"unacc"
"305",0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,"unacc"
"306",0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,"unacc"
"308",0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,"unacc"
"309",0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,"acc"
"310",0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,"unacc"
"311",0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,"acc"
"312",0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,"acc"
"313",0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,"unacc"
"314",0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,"acc"
"316",0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,"unacc"
"317",0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,"unacc"
"318",0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,"acc"
"319",0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,"unacc"
"320",0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,"acc"
"321",0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,"acc"
"322",0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,"unacc"
"324",0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,"acc"
"325",0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,"unacc"
"326",0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,"unacc"
"328",0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,"unacc"
"329",0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,"unacc"
"330",0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,"unacc"
"331",0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,"unacc"
"332",0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,"unacc"
"333",0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,"unacc"
"334",0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,"unacc"
"335",0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,"unacc"
"336",0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,"acc"
"337",0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,"unacc"
"338",0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,"unacc"
"339",0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,"acc"
"340",0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,"unacc"
"341",0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,"acc"
"342",0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,"acc"
"343",0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,"unacc"
"345",0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,"unacc"
"346",0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,"unacc"
"348",0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,"acc"
